"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"1348","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",2605357
"1349","Hasseltia floribunda","diameter at breast height (1.3 m)","10.7","cm",NA,-13.6667,-68.2,NA,NA,"Saara J. DeWalt","sdewalt@rice.edu","public",4292114
"1350","Vismia baccifera","diameter at breast height (1.3 m)","6.1","cm",NA,10.4554,-84.0659,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4403430
"1351","Pausandra trianae","diameter at breast height (1.3 m)","4.1","cm",NA,-12.4159,-69.3269,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",6776611
"1352","Guarea kunthiana","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13402921
"1353","Trema micrantha","whole plant height","7.3152","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",9359102
"1354","Trema micrantha","whole plant height","3.6576","m",NA,17.723687,-64.699237,NA,NA,"Greg Reams",NA,"public",9695267
"1355","Avicennia germinans","diameter at breast height (1.3 m)","4.064","cm",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",12098154
"1356","Croton schiedeanus","diameter at breast height (1.3 m)","14","cm",NA,-1.1,-79.6333,NA,NA,"James S. MIller",NA,"public",13021439
"1357","Hasseltia floribunda","diameter at breast height (1.3 m)","3","cm",NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",13130632
"1358","Pausandra trianae","diameter at breast height (1.3 m)","7.4","cm",NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13198815
"1359","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-12.4895,-68.7616,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13400322
"1360","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13428549
"1361","Laetia procera","whole plant growth form","tree",NA,NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13456490
"1362","Pausandra trianae","whole plant growth form","tree",NA,NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13457173
"1363","Laetia procera","whole plant height","0","m",NA,10.4304,-84.0167,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14438029
"1364","Trema micrantha","whole plant height","3.9624","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",19504307
"1365","Avicennia germinans","whole plant height","20.1168","m",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",19903151
"1366","Avicennia germinans","whole plant height","14.6304","m",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",19903424
"1367","Avicennia germinans","diameter at breast height (1.3 m)","15.748","cm",NA,26.003054,-81.719677,NA,NA,"Greg Reams",NA,"public",21008262
"1368","Avicennia germinans","diameter at breast height (1.3 m)","14.986","cm",NA,26.80926,-82.161948,NA,NA,"Greg Reams",NA,"public",23416565
"1369","Avicennia germinans","diameter at breast height (1.3 m)","26.67","cm",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",25732118
"1370","Laetia procera","leaf compoundness","Simple",NA,NA,NA,NA,NA,NA,NA,NA,"public",1738636
"1371","Guarea kunthiana","stem wood density","0.617","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",15287850
"1372","Laetia procera","stem wood density","0.75","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",15984416
"1373","Hieronyma alchorneoides","leaf nitrogen content per leaf dry mass","23","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","public",15398334
"1374","Croton schiedeanus","diameter at breast height (1.3 m)","41.6","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",24394096
"1375","Pausandra trianae","diameter at breast height (1.3 m)","12.4","cm",NA,-11.904708,-71.4024744,NA,NA,"Patricia Alvarez-Loayza",NA,"public",993864
"1376","Vismia baccifera","diameter at breast height (1.3 m)","34.5","cm",NA,10.2403425582,-84.0850028149,NA,NA,"VG-VB-9",NA,"public",5593868
"1377","Guarea kunthiana","diameter at breast height (1.3 m)","13.8","cm",NA,-11.8784896,-71.4086283,NA,NA,"Patricia Alvarez-Loayza",NA,"public",26472046
"1378","Croton schiedeanus","diameter at breast height (1.3 m)","11.9","cm",NA,10.3161448815982,-84.0476261290042,NA,NA,"VG-VB-9",NA,"public",26851334
"1379","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",5426569
"1380","Trema micrantha","whole plant height","4.2672","m",NA,17.723687,-64.699237,NA,NA,"Greg Reams",NA,"public",7618019
"1381","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13338079
"1382","Trema micrantha","whole plant height","5.4864","m",NA,18.370414,-66.525505,NA,NA,"Greg Reams",NA,"public",8386726
"1383","Pausandra trianae","diameter at breast height (1.3 m)","8","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",8697086
"1384","Guarea kunthiana","diameter at breast height (1.3 m)","14","cm",NA,2.26667,-76.2,NA,NA,"James S. MIller",NA,"public",9487918
"1385","Pausandra trianae","diameter at breast height (1.3 m)","4.8","cm",NA,-12.492,-69.4084,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13049262
"1386","Pausandra trianae","diameter at breast height (1.3 m)","138","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12899704
"1387","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",12563190
"1388","Laetia procera","whole plant growth form","tree",NA,NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13246045
"1389","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3035,-69.3045,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13292888
"1390","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-12.6949,-69.1165,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13339706
"1391","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4808,-69.3853,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13360017
"1392","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13441174
"1393","Laetia procera","whole plant height","0","m",NA,10.4551,-84.0645,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13668473
"1394","Croton schiedeanus","whole plant height","0","m",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14007524
"1395","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14446676
"1396","Avicennia germinans","diameter at breast height (1.3 m)","5.08","cm",NA,27.148509,-80.153097,NA,NA,"Greg Reams",NA,"public",16755192
"1397","Avicennia germinans","diameter at breast height (1.3 m)","26.416","cm",NA,26.889832,-82.084046,NA,NA,"Greg Reams",NA,"public",26632619
"1398","Pausandra trianae","whole plant growth form","Tree",NA,NA,NA,NA,NA,NA,NA,NA,"public",2062182
"1399","Croton schiedeanus","diameter at breast height (1.3 m)","28.7","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",16046274
"1400","Croton schiedeanus","diameter at breast height (1.3 m)","15.3","cm",NA,10.3167444509383,-84.0472511645842,NA,NA,"VG-VB-9",NA,"public",26869059
"1401","Trema micrantha","diameter at breast height (1.3 m)","3.81","cm",NA,17.741739,-64.754405,NA,NA,"Greg Reams",NA,"public",901305
"1402","Laetia procera","diameter at breast height (1.3 m)","25.8","cm",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",3281671
"1403","Trema micrantha","whole plant height","4.8768","m",NA,17.723687,-64.699237,NA,NA,"Greg Reams",NA,"public",4495205
"1404","Guarea kunthiana","diameter at breast height (1.3 m)","18.1","cm",NA,-12.6015,-68.747,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",6098278
"1405","Pausandra trianae","diameter at breast height (1.3 m)","8","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",9487716
"1406","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4248,-84.0395,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",7113943
"1407","Pausandra trianae","diameter at breast height (1.3 m)","4","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",10796189
"1408","Hasseltia floribunda","diameter at breast height (1.3 m)","22.7999992370605","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",11869077
"1409","Pausandra trianae","diameter at breast height (1.3 m)","3.7","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12899212
"1410","Pausandra trianae","diameter at breast height (1.3 m)","4.4","cm",NA,-12.391,-69.3078,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12953554
"1411","Pausandra trianae","diameter at breast height (1.3 m)","8.6","cm",NA,-12.31,-69.268,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12953730
"1412","Trema micrantha","whole plant growth form","tree",NA,NA,-15.2461,-61.2428,NA,NA,"Tim Killeen",NA,"public",13276054
"1413","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13340533
"1414","Gordonia fruticosa","whole plant growth form","tree",NA,NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",13438853
"1415","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13444051
"1416","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4808,-69.3853,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13448400
"1417","Croton schiedeanus","whole plant height","0","m",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14411841
"1418","Vismia baccifera","whole plant height","0","m",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14429182
"1419","Hieronyma alchorneoides","whole plant height","0","m",NA,10.4134,-84.0278,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14429190
"1420","Laetia procera","whole plant height","0","m",NA,10.4143,-84.0117,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14473044
"1421","Laetia procera","seed mass","5","mg",NA,9.15,-79.85,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",15749634
"1422","Avicennia germinans","whole plant height","3.048","m",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",16177915
"1423","Hieronyma alchorneoides","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",22832273
"1424","Acalypha diversifolia","maximum leaf length","9","cm",NA,NA,NA,NA,NA,NA,NA,"public",1729633
"1425","Trema micrantha","minimum leaf length","1","cm",NA,NA,NA,NA,NA,NA,NA,"public",1730575
"1426","Hieronyma alchorneoides","seed mass","0.96","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","public",15895724
"1427","Hasseltia floribunda","seed mass","11.23","mg","Mean seed dry mass, measured with a digital scale after drying at 60 C, where seed is defined to include the endosperm and embryo only.",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.69ph0","Kraft TS","thomas.s.kraft@dartmouth.edu","public",15607862
"1428","Laetia procera","diameter at breast height (1.3 m)","21.4","cm",NA,-1.72963,-51.48499,NA,NA,"VG-CAX-1",NA,"public",16157176
"1429","Croton schiedeanus","diameter at breast height (1.3 m)","10.8","cm",NA,10.3456620117176,-84.0577790140333,NA,NA,"VG-VB-9",NA,"public",24175769
"1430","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,-14.5667,-68.4667,NA,NA,"James S. MIller",NA,"public",4632949
"1431","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4334,-84.0334,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",11313322
"1432","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",13184849
"1433","Pausandra trianae","whole plant growth form","tree",NA,NA,3.978,-77.079,NA,NA,"James S. MIller",NA,"public",13284764
"1434","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.492,-69.4084,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13446659
"1435","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13470829
"1436","Laetia procera","diameter at breast height (1.3 m)","14.7","cm",NA,10.4020560502548,-84.0377098521292,NA,NA,"VG-VB-9",NA,"public",10397725
"1437","Vismia baccifera","fruit type","Berry",NA,NA,NA,NA,NA,NA,NA,NA,"public",2031575
"1438","Hieronyma alchorneoides","stem wood density","0.69","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",15994766
"1439","Pausandra trianae","diameter at breast height (1.3 m)","109","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",3731461
"1440","Pausandra trianae","diameter at breast height (1.3 m)","4","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",5648059
"1441","Pausandra trianae","diameter at breast height (1.3 m)","3.5","cm",NA,-12.386,-68.7941,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",9827553
"1442","Guarea kunthiana","diameter at breast height (1.3 m)","6","cm",NA,0.116667,-78.6167,NA,NA,"James S. MIller",NA,"public",11128624
"1443","Pausandra trianae","diameter at breast height (1.3 m)","9","cm",NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13103856
"1444","Hasseltia floribunda","diameter at breast height (1.3 m)","3.5","cm",NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13144517
"1445","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13277945
"1446","Guarea kunthiana","whole plant growth form","tree",NA,NA,2.26667,-76.2,NA,NA,"James S. MIller",NA,"public",13357724
"1447","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4209,-84.0259,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13375653
"1448","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13426714
"1449","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13439806
"1450","Hasseltia floribunda","whole plant height","10","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13696582
"1451","Laetia procera","whole plant height","0","m",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14218625
"1452","Laetia procera","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14577807
"1453","Trema micrantha","whole plant height","3.9624","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",21130288
"1454","Avicennia germinans","diameter at breast height (1.3 m)","12.954","cm",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",25732319
"1455","Hasseltia floribunda","flower color","White",NA,NA,NA,NA,NA,NA,NA,NA,"public",2063613
"1456","Avicennia germinans","whole plant growth form","Tree",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",14702536
"1457","Gordonia fruticosa","flower color","White",NA,NA,NA,NA,NA,NA,NA,NA,"public",2030684
"1458","Laetia procera","diameter at breast height (1.3 m)","25","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",2495972
"1459","Acalypha diversifolia","diameter at breast height (1.3 m)","6.4","cm",NA,0.883333,-78.45,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",3501186
"1460","Trema micrantha","whole plant height","10.0584","m",NA,18.126069,-66.471689,NA,NA,"Greg Reams",NA,"public",3697850
"1461","Avicennia germinans","whole plant height","9.7536","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",6503530
"1462","Trema micrantha","whole plant height","3.6576","m",NA,17.734986,-64.622937,NA,NA,"Greg Reams",NA,"public",7419712
"1463","Trema micrantha","whole plant height","3.6576","m",NA,18.332676,-64.909018,NA,NA,"Greg Reams",NA,"public",8449036
"1464","Hieronyma alchorneoides","diameter at breast height (1.3 m)","69.9000015258789","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",12801266
"1465","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13022515
"1466","Trema micrantha","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13332945
"1467","Laetia procera","whole plant growth form","tree",NA,NA,10.4248,-84.0395,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13338747
"1468","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13424153
"1469","Hieronyma alchorneoides","whole plant height","0","m",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13967635
"1470","Avicennia germinans","diameter at breast height (1.3 m)","3.81","cm",NA,27.298023,-80.218293,NA,NA,"Greg Reams",NA,"public",26223594
"1471","Trema micrantha","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",26887346
"1472","Gordonia fruticosa","stem wood density","0.52","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",15992684
"1473","Pausandra trianae","minimum leaf length","3","cm",NA,NA,NA,NA,NA,NA,NA,"public",1731558
"1474","Hasseltia floribunda","minimum fruit length","3","mm",NA,NA,NA,NA,NA,NA,NA,"public",2031703
"1475","Hasseltia floribunda","diameter at breast height (1.3 m)","25","cm",NA,-1.06667,-77.6,NA,NA,"James S. MIller",NA,"public",3047695
"1476","Guarea kunthiana","diameter at breast height (1.3 m)","116","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5538397
"1477","Guarea kunthiana","diameter at breast height (1.3 m)","16","cm",NA,-13.5833,-68.7667,NA,NA,"James S. MIller",NA,"public",6549040
"1478","Croton schiedeanus","diameter at breast height (1.3 m)","21","cm",NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",6549905
"1479","Guarea kunthiana","diameter at breast height (1.3 m)","630","cm",NA,-3.43333,-72.85,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13090741
"1480","Pausandra trianae","diameter at breast height (1.3 m)","3","cm",NA,-12.1121,-69.1378,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7905783
"1481","Pausandra trianae","whole plant growth form","tree",NA,NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13325024
"1482","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,-12.4808,-69.3853,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11405627
"1483","Pausandra trianae","diameter at breast height (1.3 m)","6.5","cm",NA,-12.1121,-69.1378,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11312704
"1484","Laetia procera","diameter at breast height (1.3 m)","2.6","cm",NA,-12.4673,-69.2069,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11778608
"1485","Hasseltia floribunda","diameter at breast height (1.3 m)","3","cm",NA,-12.5049,-68.78,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13062946
"1486","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",12469739
"1487","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13311602
"1488","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13336689
"1489","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13415034
"1490","Laetia procera","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13471051
"1491","Avicennia germinans","diameter at breast height (1.3 m)","4.826","cm",NA,27.148509,-80.153097,NA,NA,"Greg Reams",NA,"public",26223609
"1492","Laetia procera","diameter at breast height (1.3 m)","20.8","cm",NA,10.4162575998924,-84.0200438265171,NA,NA,"VG-VB-9",NA,"public",16062619
"1493","Laetia procera","diameter at breast height (1.3 m)","48.4","cm",NA,-1.72963,-51.48499,NA,NA,"VG-CAX-1",NA,"public",10806783
"1494","Hasseltia floribunda","diameter at breast height (1.3 m)","4","cm",NA,-12.8333,-69.2833,NA,NA,"James S. MIller",NA,"public",6098167
"1495","Laetia procera","diameter at breast height (1.3 m)","4.6","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",6098887
"1496","Pausandra trianae","diameter at breast height (1.3 m)","5","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",6661133
"1497","Hasseltia floribunda","diameter at breast height (1.3 m)","12.5","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",10222735
"1498","Avicennia germinans","whole plant height","7.9248","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",7436661
"1499","Avicennia germinans","whole plant height","4.8768","m",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",7823320
"1500","Guarea kunthiana","diameter at breast height (1.3 m)","2.5","cm",NA,-5.75,-77.6667,NA,NA,"James S. MIller",NA,"public",10052919
"1501","Guarea kunthiana","diameter at breast height (1.3 m)","80","cm",NA,-0.673,-77.543,NA,NA,"James S. MIller",NA,"public",10950757
"1502","Pausandra trianae","diameter at breast height (1.3 m)","10.2","cm",NA,-12.1121,-69.1378,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12865277
"1503","Gordonia fruticosa","whole plant growth form","tree",NA,NA,1.03333,-78.25,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",13241090
"1504","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13273480
"1505","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13278718
"1506","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4015,-84.112,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13311599
"1507","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13332406
"1508","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13424791
"1509","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13427792
"1510","Guarea kunthiana","whole plant growth form","tree",NA,NA,0.25,-76.75,NA,NA,"James S. MIller",NA,"public",13429313
"1511","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,9.125260353,-79.88529968,NA,NA,"Richard Condit",NA,"public",16500312
"1512","Trema micrantha","diameter at breast height (1.3 m)","5.5626","cm",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",26283473
"1513","Croton schiedeanus","diameter at breast height (1.3 m)","16.1","cm",NA,10.3163565540749,-84.047563320154,NA,NA,"VG-VB-9",NA,"public",10362324
"1514","Croton schiedeanus","diameter at breast height (1.3 m)","11.7","cm",NA,10.3450959290585,-84.0575642842658,NA,NA,"VG-VB-9",NA,"public",25062528
"1515","Hasseltia floribunda","inflorescence length","18","cm","value is either the mean or maximum",NA,NA,NA,NA,NA,NA,"public",2029741
"1516","Laetia procera","flower color","Green",NA,NA,NA,NA,NA,NA,NA,NA,"public",2063601
"1517","Vismia baccifera","diameter at breast height (1.3 m)","37","cm",NA,10.2403425582,-84.0850028149,NA,NA,"VG-VB-9",NA,"public",24132694
"1518","Hasseltia floribunda","maximum fruit length","4","mm",NA,NA,NA,NA,NA,NA,NA,"public",2067908
"1519","Pausandra trianae","diameter at breast height (1.3 m)","2.7","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",3501666
"1520","Laetia procera","diameter at breast height (1.3 m)","3","cm",NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",8696821
"1521","Trema micrantha","whole plant height","4.8768","m",NA,17.734986,-64.622937,NA,NA,"Greg Reams",NA,"public",5947259
